https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNT,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1704841200000,2024-01-09 23:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704837600000,2024-01-09 22:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704834000000,2024-01-09 21:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704830400000,2024-01-09 20:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704826800000,2024-01-09 19:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704823200000,2024-01-09 18:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704819600000,2024-01-09 17:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704816000000,2024-01-09 16:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704812400000,2024-01-09 15:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704808800000,2024-01-09 14:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704805200000,2024-01-09 13:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704801600000,2024-01-09 12:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704798000000,2024-01-09 11:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704794400000,2024-01-09 10:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704790800000,2024-01-09 09:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
