https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume YFI,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1614729600000,2021-03-03 00:00:00,YFI/USDT,33034.27576239,35666,33034.27576239,33969.56585898,28167.52376009,0.81544619,0,0,0,34542.46779924
1614643200000,2021-03-02 00:00:00,YFI/USDT,34829.99927206,35358.64065947,32345.79569708,33228.87471872,37542.17065095,1.11398981,0,0,0,33700.64098786
1614556800000,2021-03-01 00:00:00,YFI/USDT,30746.63929039,34823.42880354,30729.69209934,34747.31165,91569.0789354,2.76619027,0,0,0,33102.95749663
1614470400000,2021-02-28 00:00:00,YFI/USDT,31389.28814937,31515.28310344,27499.14400268,30703.29943314,69971.15971313,2.34470958,0,0,0,29842.14348334
1614384000000,2021-02-27 00:00:00,YFI/USDT,31344.31618814,33303.25,30811.29828309,31425.27248544,23580.74172273,0.7319136,0,0,0,32217.93080868
1614297600000,2021-02-26 00:00:00,YFI/USDT,31505.00268566,33224.03631267,29999,31128.95325923,173811.5143458,5.44239042,0,0,0,31936.61257874
1614211200000,2021-02-25 00:00:00,YFI/USDT,33699.59941178,35358.64065947,31505.00268566,31505.00268566,42725.79646788,1.2644529,0,0,0,33789.94699437
1614124800000,2021-02-24 00:00:00,YFI/USDT,33146.25261176,36993.19534495,31929.59044967,33798.87313112,176424.46341027,5.00206632,0,0,0,35270.31672988
1614038400000,2021-02-23 00:00:00,YFI/USDT,39165.82641955,39312.09350557,29000,33291.02601023,422496.14830677,12.86803021,0,0,0,32833.00873652
1613952000000,2021-02-22 00:00:00,YFI/USDT,43170.78089267,43172.37632149,31268.60263239,39389.47787208,284927.3715973,7.29491112,0,0,0,39058.37465464
1613865600000,2021-02-21 00:00:00,YFI/USDT,42300.86956166,44669.8288085,41317.80416249,43057.89498215,149615.01985941,3.47555051,0,0,0,43047.86232538
1613779200000,2021-02-20 00:00:00,YFI/USDT,44816.61220684,47847.43696507,39492.16542656,42352.38443438,372459.31613402,8.27373738,0,0,0,45017.05807515
1613692800000,2021-02-19 00:00:00,YFI/USDT,44384.77605063,45469.40552998,41852.1082482,44582.75154622,172008.02678283,3.87314375,0,0,0,44410.44223644
1613606400000,2021-02-18 00:00:00,YFI/USDT,44036.90859916,46838.29718543,43000,44362.51643393,254208.73216828,5.54990054,0,0,0,45804.19600966
1613520000000,2021-02-17 00:00:00,YFI/USDT,42935.72798478,44400,40056.75385681,43883.94006754,129612.45623859,3.08521626,0,0,0,42010.81717318
1613433600000,2021-02-16 00:00:00,YFI/USDT,40273.2634745,45218.92955249,39000.00000001,42719.27441275,240252.68617374,5.63009457,0,0,0,42672.93971471
1613347200000,2021-02-15 00:00:00,YFI/USDT,43814.52342381,44058.27894555,38000,40391.60250796,312041.15697331,7.60135542,0,0,0,41050.72578928
1613260800000,2021-02-14 00:00:00,YFI/USDT,47046.54670218,47058.37671177,42953.33091531,43438.83646762,84332.3863677,1.88656112,0,0,0,44701.6454827
1613174400000,2021-02-13 00:00:00,YFI/USDT,47501.25490541,48572.86110371,43574.31551023,46975.81959012,323802.14803747,7.05839927,0,0,0,45874.72819987
1613088000000,2021-02-12 00:00:00,YFI/USDT,44074.98538163,52052.46610912,43881.13578158,46911.63001666,967661.95613065,20.25853779,0,0,0,47765.63669902
1613001600000,2021-02-11 00:00:00,YFI/USDT,36396.54571097,45558.91034201,34928.6148316,43948.17419626,675720.03767758,16.39630325,0,0,0,41211.7309234
1612915200000,2021-02-10 00:00:00,YFI/USDT,35386.49058054,39081.1507312,33163.84456521,36258.59197227,330192.90092211,9.2047619,0,0,0,35871.96545758
1612828800000,2021-02-09 00:00:00,YFI/USDT,32727.77426548,35442.45260993,31761.60754152,35143.94085498,127484.31775734,3.79402031,0,0,0,33601.3798928
1612742400000,2021-02-08 00:00:00,YFI/USDT,30959.50856355,33621.73913043,30387.24487559,32729.64974692,117642.60164362,3.66733548,0,0,0,32078.49466872
1612656000000,2021-02-07 00:00:00,YFI/USDT,31599.3580554,31853.83521693,29415.927279,30915.85669592,79683.7848811,2.63256977,0,0,0,30268.44180509
1612569600000,2021-02-06 00:00:00,YFI/USDT,32534.04888328,33223.50492933,30680.77040962,31598.4835695,74595.77006777,2.36200357,0,0,0,31581.56533513
1612483200000,2021-02-05 00:00:00,YFI/USDT,31246.18768491,33877.75593965,30532.60869565,32507.01831162,109876.56816929,3.39050428,0,0,0,32407.14628128
1612396800000,2021-02-04 00:00:00,YFI/USDT,34169.18275722,34858.7051855,29831.6390585,31190.32286132,116083.4017359,3.53156463,0,0,0,32870.24701453
1612310400000,2021-02-03 00:00:00,YFI/USDT,31929.65478113,34530.029345,31929.65478113,34063.04347826,76457.90315086,2.25945211,0,0,0,33839.13419207
1612224000000,2021-02-02 00:00:00,YFI/USDT,31190.32286132,32531.46248401,30532.60869565,31763.51464564,20751.25416157,0.65470245,0,0,0,31695.70262272
1612137600000,2021-02-01 00:00:00,YFI/USDT,30105.12050903,30999.20028401,29313.5291367,30999.20028401,18461.03995524,0.61420482,0,0,0,30056.81387398
1612051200000,2021-01-31 00:00:00,YFI/USDT,31045.49492848,33223.50492933,29623.0539472,30325.46059004,24258.24951279,0.77414984,0,0,0,31335.34137627
1611964800000,2021-01-30 00:00:00,YFI/USDT,30327.08896466,32078.12795111,28767.39130434,30974.49142374,18020.13458934,0.58061572,0,0,0,31036.24991301
1611878400000,2021-01-29 00:00:00,YFI/USDT,30093.39949525,31631.11075478,28601.80215303,30099.02497207,219782.34957226,7.1991137,0,0,0,30529.08437496
1611792000000,2021-01-28 00:00:00,YFI/USDT,27625.50737286,30590.20189006,27443.47826086,29831.6390585,20005.00610114,0.67762705,0,0,0,29522.14806234
1611705600000,2021-01-27 00:00:00,YFI/USDT,30091.30434782,30091.30434782,27181.12377117,27771.85229838,50639.21199713,1.79378624,0,0,0,28230.34922886
1611619200000,2021-01-26 00:00:00,YFI/USDT,29208.69565217,30532.60869565,28438.16554314,30293.52953413,35220.8110303,1.18787235,0,0,0,29650.33324523
1611532800000,2021-01-25 00:00:00,YFI/USDT,32443.11589826,33212.75730355,29444.91265174,29463.30136889,32391.89980733,1.05173783,0,0,0,30798.45459902
1611446400000,2021-01-24 00:00:00,YFI/USDT,30340,32774.02865201,30237.43420866,32142.12939188,31275.6104227,0.98353963,0,0,0,31799.03429281
1611360000000,2021-01-23 00:00:00,YFI/USDT,30532.60869565,31415.2173913,29776.69608652,30423.36933098,54680.18181069,1.80407713,0,0,0,30309.22619738
1611273600000,2021-01-22 00:00:00,YFI/USDT,27762.91840725,32062.9402826,26100,30840.9997931,19017.36770045,0.63152656,0,0,0,30113.32999273
1611187200000,2021-01-21 00:00:00,YFI/USDT,33707.59235999,33707.59235999,27000,28004.98547457,60851.40142928,2.02905133,0,0,0,29990.07493284
1611100800000,2021-01-20 00:00:00,YFI/USDT,34354.90832726,35386.95652173,31415.2173913,34063.04347826,50121.15887173,1.49241162,0,0,0,33584.00470758
1611014400000,2021-01-19 00:00:00,YFI/USDT,37922.10271169,38245.97222995,33973.24066512,34469.71761929,160435.4086608,4.44750599,0,0,0,36073.11806246
1610928000000,2021-01-18 00:00:00,YFI/USDT,34526.66918916,40000.72403439,34526.66918916,37922.10271169,179539.74403076,4.71945724,0,0,0,38042.45592248
1610841600000,2021-01-17 00:00:00,YFI/USDT,33649.39166066,36943.6544846,32500,34526.66918916,64233.26674501,1.79680493,0,0,0,35748.60335284
1610755200000,2021-01-16 00:00:00,YFI/USDT,30497.7720583,35115.30213855,30497.7720583,33885.6695154,139081.71066631,4.13981808,0,0,0,33596.09238344
1610668800000,2021-01-15 00:00:00,YFI/USDT,32784.5223643,33367.98532485,28500,30044.47432834,108045.66923264,3.44415345,0,0,0,31370.74779076
1610582400000,2021-01-14 00:00:00,YFI/USDT,33621.73913043,34063.04347826,31286.20525406,32739.13043478,31934.95527036,0.96566856,0,0,0,33070.30651424
1610496000000,2021-01-13 00:00:00,YFI/USDT,29478.78158928,33799.99580094,28403.17342156,33489.68552,72995.58630988,2.36374213,0,0,0,30881.36619618
1610409600000,2021-01-12 00:00:00,YFI/USDT,30091.30434782,32081.88855893,28163.67497308,29649.99999999,30151.92171974,1.0000218,0,0,0,30151.26442218
1610323200000,2021-01-11 00:00:00,YFI/USDT,34054.34782606,34054.34782606,25855.39609753,30005.88937565,86058.78268668,2.91410658,0,0,0,29531.78970094
1610236800000,2021-01-10 00:00:00,YFI/USDT,35828.26086957,38253.39999995,31415.2173913,34088.14526155,158404.28795391,4.57678191,0,0,0,34610.40772072
1610150400000,2021-01-09 00:00:00,YFI/USDT,35153.23276448,39700,33621.73913043,35862.88827229,165821.36590579,4.42228914,0,0,0,37496.72639129
1610064000000,2021-01-08 00:00:00,YFI/USDT,33180.4347826,38500.54440001,27226.73426215,34924.21892239,230475.71989405,6.72547601,0,0,0,34269.05687439
1609977600000,2021-01-07 00:00:00,YFI/USDT,24575.56527961,37000,24278.45803144,33084.18051309,301527.95574893,9.53661195,0,0,0,31617.93279729
1609891200000,2021-01-06 00:00:00,YFI/USDT,23803.63803224,25358.8684417,22964.95554756,24793.73607153,45035.86252755,1.83819006,0,0,0,24500.11209806
1609804800000,2021-01-05 00:00:00,YFI/USDT,23471.73913043,24795.65217391,22000.00000001,23500,21801.14559021,0.92957989,0,0,0,23452.68634223
1609718400000,2021-01-04 00:00:00,YFI/USDT,23947.9326935,26700,22147.82608695,23391.39306413,49704.71482036,2.07415772,0,0,0,23963.80677375
1609632000000,2021-01-03 00:00:00,YFI/USDT,21589.00439049,24999.99999997,20500,23728.6675287,113164.33597444,5.03080173,0,0,0,22494.29455739
1609545600000,2021-01-02 00:00:00,YFI/USDT,21600,22224.91709556,21300,21483.67070585,66524.73845185,3.04845215,0,0,0,21822.46437814
1609459200000,2021-01-01 00:00:00,YFI/USDT,23030.434,23381.62391632,21566.15637297,21909.61613939,15613.45285608,0.7042607,0,0,0,22169.99025515
1609372800000,2020-12-31 00:00:00,YFI/USDT,21400,23361.05157532,21265.2173913,22714.42406984,26838.12744942,1.18702472,0,0,0,22609.57754057
1609286400000,2020-12-30 00:00:00,YFI/USDT,22589.13043478,22629.76798051,21533.23684,21946.340105,15437.37911523,0.70238155,0,0,0,21978.62275174
1609200000000,2020-12-29 00:00:00,YFI/USDT,23030.4347826,23074.55359835,21265.2173913,22387.0559766,22673.75119081,1.03189978,0,0,0,21972.82297203
1609113600000,2020-12-28 00:00:00,YFI/USDT,22658.3059788,24354.34782608,22589.13043478,22857.13481583,15785.43392713,0.67765531,0,0,0,23294.1935143
1609027200000,2020-12-27 00:00:00,YFI/USDT,22588.75739176,25000,21641.77941441,22860.10158061,41481.00169723,1.7687536,0,0,0,23452.10870368
1608940800000,2020-12-26 00:00:00,YFI/USDT,23567.58396967,23810.81055615,21851.63166179,22520.54350639,21957.55200826,0.96965071,0,0,0,22644.80578605
1608854400000,2020-12-25 00:00:00,YFI/USDT,23865.11069941,24990,22795.24783568,23566.12852645,34756.80270649,1.43764422,0,0,0,24176.21983448
1608768000000,2020-12-24 00:00:00,YFI/USDT,20149.46781014,24002.69982982,19251.72617783,24002.69982982,71116.10210254,3.47767386,0,0,0,20449.33049085
1608681600000,2020-12-23 00:00:00,YFI/USDT,24937.96559345,25335.05725017,18900,20250.79926998,38314.61967461,1.73149524,0,0,0,22128.05371305
1608595200000,2020-12-22 00:00:00,YFI/USDT,24540.62330423,25119.34079378,22584.03051667,24890.14025711,41144.10249216,1.69260095,0,0,0,24308.21186302
1608508800000,2020-12-21 00:00:00,YFI/USDT,25803.19259187,27148.60784631,24181.29364818,24625.85798847,26658.76516326,1.06940937,0,0,0,24928.4940932
1608422400000,2020-12-20 00:00:00,YFI/USDT,27500,27500,25473.22,26119.56521739,85274.30995558,3.16613517,0,0,0,26933.24996468
1608336000000,2020-12-19 00:00:00,YFI/USDT,27443.47826086,28767.39130434,27403.17963057,27538.03944353,12591.25562757,0.448762,0,0,0,28057.75807127
1608249600000,2020-12-18 00:00:00,YFI/USDT,26549.14059531,28520.8776658,25989.40217734,27653.87691199,34921.57661552,1.26890994,0,0,0,27520.92604422
1608163200000,2020-12-17 00:00:00,YFI/USDT,27158.00410185,28007.67228114,25825.59542578,26392.31859207,88604.82208153,3.28735285,0,0,0,26953.24357454
1608076800000,2020-12-16 00:00:00,YFI/USDT,24663.19281771,27632.4802088,24190.6563888,27050,45765.88718073,1.75997734,0,0,0,26003.67978642
1607990400000,2020-12-15 00:00:00,YFI/USDT,26017.11143629,26444.44444443,24632.1185185,24632.1185185,11831.65274043,0.46570412,0,0,0,25405.94388651
1607904000000,2020-12-14 00:00:00,YFI/USDT,26147.51488826,26147.51488826,24994.83442392,25827.20888161,6057.48558758,0.23615968,0,0,0,25649.95679016
1607817600000,2020-12-13 00:00:00,YFI/USDT,25338.74909628,27002.17391304,25338.74909628,26378.16127584,23579.84368959,0.8957296,0,0,0,26324.73426086
1607731200000,2020-12-12 00:00:00,YFI/USDT,23557.47104469,25715.21972822,23557.47104469,25304.65842279,16486.64980575,0.65398553,0,0,0,25209.50242698
1607644800000,2020-12-11 00:00:00,YFI/USDT,24051.9199303,24051.9199303,22152.31651967,23471.73913043,38058.74682703,1.66011601,0,0,0,22925.35376912
1607558400000,2020-12-10 00:00:00,YFI/USDT,25674.94774377,25739.02991386,23776.6738178,24000,26315.28786162,1.06986254,0,0,0,24596.88686887
1607472000000,2020-12-09 00:00:00,YFI/USDT,25316.19859827,26217.04920622,23714.67514639,25945.36066954,54636.17578338,2.13258292,0,0,0,25619.71929484
1607385600000,2020-12-08 00:00:00,YFI/USDT,28489.36114356,28500,24907.30005022,25332.22624915,67131.44586673,2.55349053,0,0,0,26290.07042635
1607299200000,2020-12-07 00:00:00,YFI/USDT,28657.01270248,29340.22,27978.70485936,28627.58178094,39203.98253561,1.37356101,0,0,0,28541.85744222
1607212800000,2020-12-06 00:00:00,YFI/USDT,29400,29400,27933.24562568,29063.33997992,17906.15952133,0.62293027,0,0,0,28745.04640999
1607126400000,2020-12-05 00:00:00,YFI/USDT,26323.07692307,29499.99999999,26323.07692307,29400,40176.02665793,1.38937585,0,0,0,28916.60068651
1607040000000,2020-12-04 00:00:00,YFI/USDT,29729.61969947,30490.89587643,26251.7411419,26554.94533171,276022.21196024,9.87022307,0,0,0,27965.14425283
1606953600000,2020-12-03 00:00:00,YFI/USDT,30400.66544399,31400,28617.7448714,29754.78737997,665628.66072557,22.01234253,0,0,0,30238.88347268
1606867200000,2020-12-02 00:00:00,YFI/USDT,25646.15384615,31790.92015979,25550.87889072,30514.06338881,798012.18471971,26.88770133,0,0,0,29679.44990631
1606780800000,2020-12-01 00:00:00,YFI/USDT,26177.70258686,28000,24688.56039478,25790.30464273,99584.45919283,3.77213199,0,0,0,26400.04630188
1606694400000,2020-11-30 00:00:00,YFI/USDT,24766,27002.00689012,24727.80444103,26105.68044838,227013.41240423,8.74670234,0,0,0,25954.17147855
1606608000000,2020-11-29 00:00:00,YFI/USDT,23231.68133256,24804.8,22872.07476798,24427.4944878,266883.24441183,11.06468689,0,0,0,24120.27082782
1606521600000,2020-11-28 00:00:00,YFI/USDT,23276.92307692,24367.38752018,22683.7757115,23276.92307692,69831.9431857,2.9866994,0,0,0,23380.97472604
1606435200000,2020-11-27 00:00:00,YFI/USDT,23200,25307.69230769,22427.4684429,23550.88557145,144228.41232938,6.0147958,0,0,0,23978.93746108
1606348800000,2020-11-26 00:00:00,YFI/USDT,22324.52106477,23200,18400,23200,134685.77557223,6.61971269,0,0,0,20346.16634883
1606262400000,2020-11-25 00:00:00,YFI/USDT,24630.76923076,24630.76923076,21686.78761205,22490,108573.37718085,4.65467372,0,0,0,23325.66871751
1606176000000,2020-11-24 00:00:00,YFI/USDT,25196.52447254,26491.138553,23500.00000001,24630.76923078,147883.17241276,5.86846757,0,0,0,25199.6233512
1606089600000,2020-11-23 00:00:00,YFI/USDT,24735.05539941,26174.18550938,23452.23631,25013.34485068,49962.27991388,1.99780079,0,0,0,25008.63958207
1606003200000,2020-11-22 00:00:00,YFI/USDT,24440.74732117,27000,21500,24361.49926841,166072.13174614,6.98661091,0,0,0,23770.05588051
1605916800000,2020-11-21 00:00:00,YFI/USDT,26633.02635763,27848.87181958,23415.27001317,24440.74732117,145153.26958433,5.54912316,0,0,0,26157.87492889
1605830400000,2020-11-20 00:00:00,YFI/USDT,27903.76004841,29793.8962408,25999.99999999,26382.34604017,254631.34756985,9.12360907,0,0,0,27909.05941017
1605744000000,2020-11-19 00:00:00,YFI/USDT,25597.23695945,29541.53875944,24327,27722.6682514,145901.4827011,5.31068576,0,0,0,27473.19071296
1605657600000,2020-11-18 00:00:00,YFI/USDT,24072.30683639,26123,20800,25584.82810865,286834.4254842,12.22503592,0,0,0,23462.86975034
1605571200000,2020-11-17 00:00:00,YFI/USDT,18511.34632803,24870.28231958,18511.34632803,23800,120160.24311858,5.81865839,0,0,0,20650.85025872
1605484800000,2020-11-16 00:00:00,YFI/USDT,17548.40392925,19100,17038.12177395,18627.22934365,60499.18846504,3.29524447,0,0,0,18359.5447973
1605398400000,2020-11-15 00:00:00,YFI/USDT,17231.86510576,18411.80295721,16700.7772292,17650.56443035,49044.2743514,2.74651099,0,0,0,17856.93723053
1605312000000,2020-11-14 00:00:00,YFI/USDT,17575.96509635,17575.96509635,16169.23076923,17281.11915003,30902.7597203,1.82807335,0,0,0,16904.5512973
1605225600000,2020-11-13 00:00:00,YFI/USDT,15491.71521542,18404.15562705,15238.92085867,18083.24247,116670.51262839,6.61943053,0,0,0,17625.46069478
