https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDP,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1595282400000,2020-07-20 22:00:00,USDP/USDT,1.00064012,1.00064012,1.00046009,1.00046009,44.65280587,44.62863988,0,0,0,0
1595278800000,2020-07-20 21:00:00,USDP/USDT,1.00083984,1.00083984,1.00083984,1.00083984,0,0,0,0,0,0
1595275200000,2020-07-20 20:00:00,USDP/USDT,1.00083984,1.00083984,1.00083984,1.00083984,1.64820752,1.64682446,0,0,0,0
1595271600000,2020-07-20 19:00:00,USDP/USDT,1.00059989,1.00083984,1.00059989,1.00083984,48.00345612,47.96857028,0,0,0,0
1595268000000,2020-07-20 18:00:00,USDP/USDT,1.00059989,1.00061988,1.00059989,1.00061988,0,0,0,0,0,0
1595264400000,2020-07-20 17:00:00,USDP/USDT,1.00059989,1.00061988,1.00059989,1.00061988,0,0,0,0,0,0
1595260800000,2020-07-20 16:00:00,USDP/USDT,1.00059989,1.00061988,1.00059989,1.00061988,0,0,0,0,0,0
1595257200000,2020-07-20 15:00:00,USDP/USDT,1.00059989,1.00061988,1.00059989,1.00061988,0,0,0,0,0,0
1595253600000,2020-07-20 14:00:00,USDP/USDT,1.00059989,1.00061988,1.00059989,1.00061988,0,0,0,0,0,0
1595250000000,2020-07-20 13:00:00,USDP/USDT,1.00059989,1.00061988,1.00059989,1.00061988,0,0,0,0,0,0
1595246400000,2020-07-20 12:00:00,USDP/USDT,1.00059989,1.00061988,1.00059989,1.00061988,0,0,0,0,0,0
1595242800000,2020-07-20 11:00:00,USDP/USDT,1.00059989,1.00061988,1.00059989,1.00061988,0,0,0,0,0,0
1595239200000,2020-07-20 10:00:00,USDP/USDT,1.00059989,1.00061988,1.00059989,1.00061988,0,0,0,0,0,0
1595235600000,2020-07-20 09:00:00,USDP/USDT,1.00059989,1.00061988,1.00059989,1.00061988,0,0,0,0,0,0
1595232000000,2020-07-20 08:00:00,USDP/USDT,1.0005199,1.00061988,1.0005199,1.00061988,7.23177126,7.22738622,0,0,0,0
1595228400000,2020-07-20 07:00:00,USDP/USDT,1.0005199,1.00059989,1.0005199,1.00059989,0,0,0,0,0,0
1595224800000,2020-07-20 06:00:00,USDP/USDT,1.0005199,1.00059989,1.0005199,1.00059989,0,0,0,0,0,0
1595221200000,2020-07-20 05:00:00,USDP/USDT,1.0005199,1.00059989,1.0005199,1.00059989,0,0,0,0,0,0
1595217600000,2020-07-20 04:00:00,USDP/USDT,1.0005199,1.00059989,1.0005199,1.00059989,0,0,0,0,0,0
1595214000000,2020-07-20 03:00:00,USDP/USDT,1.0005199,1.00059989,1.0005199,1.00059989,0,0,0,0,0,0
1595210400000,2020-07-20 02:00:00,USDP/USDT,1.0005199,1.00059989,1.0005199,1.00059989,0,0,0,0,0,0
1595206800000,2020-07-20 01:00:00,USDP/USDT,1.0005199,1.00059989,1.0005199,1.00059989,0,0,0,0,0,0
1595203200000,2020-07-20 00:00:00,USDP/USDT,1.0005199,1.00059989,1.0005199,1.00059989,0,0,0,0,0,0
1595199600000,2020-07-19 23:00:00,USDP/USDT,1.0005199,1.00059989,1.0005199,1.00059989,0,0,0,0,0,0
1595196000000,2020-07-19 22:00:00,USDP/USDT,1.0005199,1.00059989,1.0005199,1.00059989,13.92673925,13.91903003,0,0,0,0
1595192400000,2020-07-19 21:00:00,USDP/USDT,1.00040008,1.00040008,1.00032006,1.00032006,0,0,0,0,0,0
1595188800000,2020-07-19 20:00:00,USDP/USDT,1.00040008,1.00040008,1.00032006,1.00032006,0,0,0,0,0,0
1595185200000,2020-07-19 19:00:00,USDP/USDT,1.00040008,1.00040008,1.00032006,1.00032006,18.6815081,18.67467764,0,0,0,0
1595181600000,2020-07-19 18:00:00,USDP/USDT,1.00060012,1.00060012,1.00042008,1.00042008,28.28548347,28.27211578,0,0,0,0
1595178000000,2020-07-19 17:00:00,USDP/USDT,1.00060012,1.00060012,1.0005201,1.0005201,0,0,0,0,0,0
1595174400000,2020-07-19 16:00:00,USDP/USDT,1.00063988,1.00079985,1.0005201,1.0005201,57.61197203,57.57320956,0,0,0,0
1595170800000,2020-07-19 15:00:00,USDP/USDT,1.0005401,1.00073986,1.00044008,1.00044008,27.67311003,27.65980323,0,0,0,0
1595167200000,2020-07-19 14:00:00,USDP/USDT,1.00055989,1.00073986,1.0005001,1.00073986,7.25101804,7.24674579,0,0,0,0
1595163600000,2020-07-19 13:00:00,USDP/USDT,1.00055989,1.00073986,1.00055989,1.00073986,46.6626266,46.632348,0,0,0,0
1595160000000,2020-07-19 12:00:00,USDP/USDT,1.0005401,1.00055988,1.00036007,1.00055988,0,0,0,0,0,0
1595156400000,2020-07-19 11:00:00,USDP/USDT,1.0005401,1.00055988,1.00036007,1.00055988,52.59350138,52.56921553,0,0,0,0
1595152800000,2020-07-19 10:00:00,USDP/USDT,1.00062012,1.00073986,1.0005401,1.00073986,0,0,0,0,0,0
1595149200000,2020-07-19 09:00:00,USDP/USDT,1.00062012,1.00073986,1.0005401,1.00073986,0,0,0,0,0,0
1595145600000,2020-07-19 08:00:00,USDP/USDT,1.00062012,1.00073986,1.0005401,1.00073986,0,0,0,0,0,0
1595142000000,2020-07-19 07:00:00,USDP/USDT,1.00062012,1.00073986,1.0005401,1.00073986,0,0,0,0,0,0
1595138400000,2020-07-19 06:00:00,USDP/USDT,1.00062012,1.00073986,1.0005401,1.00073986,0,0,0,0,0,0
1595134800000,2020-07-19 05:00:00,USDP/USDT,1.00062012,1.00073986,1.0005401,1.00073986,0,0,0,0,0,0
1595131200000,2020-07-19 04:00:00,USDP/USDT,1.00062012,1.00073986,1.0005401,1.00073986,0,0,0,0,0,0
1595127600000,2020-07-19 03:00:00,USDP/USDT,1.00062012,1.00073986,1.0005401,1.00073986,0,0,0,0,0,0
1595124000000,2020-07-19 02:00:00,USDP/USDT,1.00072014,1.00073986,1.0005401,1.00073986,37.76106168,37.7369532,0,0,0,0
