https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ACM,Volume USDD,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1710162000000,2024-03-11 13:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710158400000,2024-03-11 12:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710154800000,2024-03-11 11:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710151200000,2024-03-11 10:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710147600000,2024-03-11 09:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710144000000,2024-03-11 08:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710140400000,2024-03-11 07:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710136800000,2024-03-11 06:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710133200000,2024-03-11 05:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710129600000,2024-03-11 04:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710126000000,2024-03-11 03:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710122400000,2024-03-11 02:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710118800000,2024-03-11 01:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710115200000,2024-03-11 00:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710111600000,2024-03-10 23:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710108000000,2024-03-10 22:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710104400000,2024-03-10 21:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710100800000,2024-03-10 20:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710097200000,2024-03-10 19:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710093600000,2024-03-10 18:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710090000000,2024-03-10 17:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710086400000,2024-03-10 16:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710082800000,2024-03-10 15:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710079200000,2024-03-10 14:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710075600000,2024-03-10 13:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710072000000,2024-03-10 12:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
