https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1667005200000,2022-10-29 01:00:00,ADA/USDT,0.40465,0.40465,0.40305,0.40329,16706.934953829,41375.0344,9382.48693564,23236.8107,251,0.403793152738594703
1667001600000,2022-10-29 00:00:00,ADA/USDT,0.4044,0.40481,0.40228,0.40472,12220.77591684,30295.661,5956.337423447,14767.291,235,0.403385346261912496
1666998000000,2022-10-28 23:00:00,ADA/USDT,0.40637,0.40668,0.40334,0.40423,26365.693685676,65107.4201,12956.124182727,31989.2134,273,0.404958684069316311
1666994400000,2022-10-28 22:00:00,ADA/USDT,0.40721,0.40831,0.40445,0.40636,27258.962075925,67159.5993,12912.388927871,31814.1401,293,0.405884631102145241
1666990800000,2022-10-28 21:00:00,ADA/USDT,0.40311,0.41132,0.40308,0.40729,36768.895387812,90298.0988,16605.607383486,40781.1859,296,0.407205553192732675
1666987200000,2022-10-28 20:00:00,ADA/USDT,0.40363,0.40537,0.40256,0.40309,24549.508168781,60770.364,12176.175900365,30141.5568,272,0.403972646239599303
1666983600000,2022-10-28 19:00:00,ADA/USDT,0.40325,0.404,0.40143,0.40359,31692.760358765,78773.7208,15364.702707215,38187.1222,244,0.402327568715234146
1666980000000,2022-10-28 18:00:00,ADA/USDT,0.40096,0.40351,0.40082,0.40322,23271.206121152,57913.1183,11476.300600021,28557.129,250,0.401830901273950714
1666976400000,2022-10-28 17:00:00,ADA/USDT,0.4044,0.40447,0.40078,0.40096,33254.30053176,82545.2623,15742.658023107,39074.8407,252,0.402863122472630879
1666972800000,2022-10-28 16:00:00,ADA/USDT,0.39667,0.40673,0.39667,0.40441,36171.132927309,89943.2224,23489.995593616,58555.2811,260,0.40217820057906355
1666969200000,2022-10-28 15:00:00,ADA/USDT,0.3928,0.3966,0.39201,0.3966,19677.71638228,49902.41,10988.835230587,27859.8291,217,0.394328708187047588
1666965600000,2022-10-28 14:00:00,ADA/USDT,0.39072,0.39545,0.38692,0.39288,18859.289716189,48191.0692,9248.457298895,23618.8147,257,0.39135236038837376
1666962000000,2022-10-28 13:00:00,ADA/USDT,0.38373,0.39225,0.38326,0.39079,20601.331706874,52986.8423,13005.532787282,33460.3642,285,0.388811602044742353
1666958400000,2022-10-28 12:00:00,ADA/USDT,0.38265,0.38438,0.37895,0.38376,27915.779366994,73073.3785,15447.217108553,40427.0518,267,0.382027208622732186
1666954800000,2022-10-28 11:00:00,ADA/USDT,0.38272,0.38423,0.38104,0.38267,15553.210627324,40641.0711,7782.152300503,20334.466,221,0.38269836337998495
1666951200000,2022-10-28 10:00:00,ADA/USDT,0.38388,0.38482,0.38158,0.38272,22623.209149026,58943.3408,12456.695223068,32456.9961,247,0.383813822215398001
1666947600000,2022-10-28 09:00:00,ADA/USDT,0.38435,0.38536,0.38278,0.38411,24517.036018547,63813.7894,12372.26743496,32195.5627,233,0.384197692643287138
1666944000000,2022-10-28 08:00:00,ADA/USDT,0.37998,0.3847,0.37987,0.38419,21198.830797458,55464.1223,10824.528772453,28320.4954,243,0.382209967255971698
1666940400000,2022-10-28 07:00:00,ADA/USDT,0.38576,0.38576,0.37909,0.37999,16807.598298886,43825.7708,6391.33498981,16673.5022,287,0.38352201155355825
1666936800000,2022-10-28 06:00:00,ADA/USDT,0.38644,0.38694,0.38552,0.38554,19785.003104631,51219.8972,10031.739171555,25969.725,237,0.38627598672225222
1666933200000,2022-10-28 05:00:00,ADA/USDT,0.38624,0.3867,0.38402,0.38645,39791.97443429,103237.5917,12718.408477142,32988.1841,272,0.385441457337290849
1666929600000,2022-10-28 04:00:00,ADA/USDT,0.38568,0.38665,0.38535,0.38631,16291.042194139,42189.2172,8421.775425908,21810.9535,271,0.386142530602421624
1666926000000,2022-10-28 03:00:00,ADA/USDT,0.38353,0.38589,0.38316,0.38567,34110.118065273,88597.5254,15389.338831116,39970.4483,294,0.385001476736626678
1666922400000,2022-10-28 02:00:00,ADA/USDT,0.38755,0.38756,0.38299,0.38358,36196.072780938,94094.6724,18579.497144188,48303.3756,296,0.384680224161456127
